oecd_name,oecd_date,iso3c,iso2c,country,fert_consumption,year
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,NA,2020
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,NA,2019
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,85.8700936269129,2018
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,89.3249817898023,2017
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,89.0868100608843,2016
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,79.4678591990531,2015
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,79.6105264969353,2014
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,72.8357216983549,2013
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,69.4218181645774,2012
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,68.115209071491,2011
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,77.4670124399808,2010
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,60.9279253986501,2009
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,78.0951062969647,2008
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,89.3276583783784,2007
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,85.5981744262836,2006
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,83.9322021059011,2005
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,94.4830404381774,2004
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,93.5350025817556,2003
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,95.468306298715,2002
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,102.188821900826,2001
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,97.3160294806799,2000
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,102.716389927807,1999
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,105.794977985948,1998
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,104.920098545733,1997
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,105.464205699995,1996
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,111.391652907288,1995
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,97.1385938463263,1994
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,88.7127385892116,1993
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,87.7895137433748,1992
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,74.9832816132032,1991
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,68.9170287803727,1990
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,79.8789907000628,1989
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,77.3587373180415,1988
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,70.8993709183674,1987
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,58.0646307491415,1986
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,55.3716071173019,1985
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,57.7588389530337,1984
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,62.0257623772664,1983
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,59.3275266162629,1982
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,66.7682376824317,1981
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,69.5025643764759,1980
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,74.7907382744644,1979
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,72.8210393748122,1978
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,72.0753338273934,1977
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,72.5115644002211,1976
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,55.3202129227142,1975
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,58.6564487752064,1974
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,102.760318949343,1973
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,76.723646389394,1972
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,63.3498843210536,1971
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,52.5160062079875,1970
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,53.3780123939425,1969
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,53.3076140257563,1968
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,56.6104181380589,1967
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,60.0727227833523,1966
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,62.6880118067121,1965
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,59.5973078122117,1964
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,48.6751468935161,1963
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,42.0177033423099,1962
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,46.6492314338302,1961
AUSTRALIA,7 YYY 1971,AUS,AU,Australia,NA,1960
